SourceEventID,VIINADate,ManualDecision,CanonicalEventDate,CountryScope,CanonicalTargetOrLink,TargetID,NodeID,Sector,DedupeStatus,ScoringEligibility,DecisionReason,CandidateCensusComplete
132875,20250304,INCLUDE_RUSSIA_PROPER_PROVISIONAL,2025-03-04,RUSSIA_PROPER,Oil depot Chortkovo Rostov Oblast,TGT_RU_CHORTKOVO_OIL_DEPOT_20250304,NODE_RU_CHORTKOVO_OIL_DEPOT,FUEL_STORAGE_TERMINAL,CANONICAL_PROVISIONAL,CENSUS_CANDIDATE_ONLY,Text explicitly places burning oil depot after drone strike in Chortkovo Rostov Oblast; VIINA geocode resolves across border into Luhansk and is not target location,FALSE
67786,20250605,EXCLUDE_ANALYSIS_NO_NEW_EVENT,,MIXED,Commentary on Ukrainian strikes against Russian airfields and Crimean Bridge,,,,NOT_APPLICABLE,NOT_SCORING_EVENT,Analytical/political commentary without a newly identified physical event in the row,FALSE
67824,20250628,EXCLUDE_CRIMEA_SCOPE,2025-06-28,CRIMEA_SEVASTOPOL,Kirovske military airfield Crimea,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target is in occupied Crimea,FALSE
67927,20250824,EXCLUDE_CRIMEA_SCOPE,2025-08-24,CRIMEA_SEVASTOPOL,Khersones airfield UAV base Sevastopol,,,,LINK_67924,NOT_ELIGIBLE_RUSSIA_PROPER,Same occupied-Crimea event as 67924,FALSE
67924,20250824,EXCLUDE_CRIMEA_SCOPE,2025-08-24,CRIMEA_SEVASTOPOL,Khersones airfield UAV base Sevastopol,,,,CANONICAL_CRIMEA_EVENT,NOT_ELIGIBLE_RUSSIA_PROPER,Physical event lies in occupied Crimea,FALSE
67966,20250901,EXCLUDE_CRIMEA_SCOPE_DUPLICATE,2025-09-01,CRIMEA_SEVASTOPOL,Radar at military airfield Crimea,,,,DUPLICATE_REPORTS_SAME_EVENT,NOT_ELIGIBLE_RUSSIA_PROPER,Two source reports describe same radar-destruction event in occupied Crimea,FALSE
72587,20251006,EXCLUDE_CRIMEA_SCOPE,2025-10-06,CRIMEA_SEVASTOPOL,Feodosia oil depot plus explosions at Sevastopol Yevpatoria Novofedorivka,,,,LINK_CRIMEA_CLUSTER,NOT_ELIGIBLE_RUSSIA_PROPER,All components are in occupied Crimea,FALSE
72586,20251006,EXCLUDE_CRIMEA_SCOPE_DUPLICATE,2025-10-06,CRIMEA_SEVASTOPOL,Feodosia oil depot plus Crimea explosions,,,,LINK_72587,NOT_ELIGIBLE_RUSSIA_PROPER,Same occupied-Crimea source/event cluster,FALSE
68102,20251013,EXCLUDE_CRIMEA_SCOPE,2025-10-13,CRIMEA_SEVASTOPOL,Feodosia oil depot and multiple Crimea substations,,,,CANONICAL_CRIMEA_COMPOSITE,NOT_ELIGIBLE_RUSSIA_PROPER,All reported target components lie in occupied Crimea,FALSE
311093,20251015,EXCLUDE_CRIMEA_SCOPE,2025-10-15,CRIMEA_SEVASTOPOL,Multiple substations and oil depot occupied Crimea,,,,CANONICAL_CRIMEA_COMPOSITE,NOT_ELIGIBLE_RUSSIA_PROPER,All components are in occupied Crimea,FALSE
290389,20251015,EXCLUDE_CRIMEA_SCOPE,2025-10-15,CRIMEA_SEVASTOPOL,Electricity substation near Simferopol,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target lies in occupied Crimea,FALSE
359208,20251019,EXCLUDE_CRIMEA_SCOPE,2025-10-19,CRIMEA_SEVASTOPOL,Oil depot and Gvardiysky combine Crimea,,,,CANONICAL_CRIMEA_COMPOSITE,NOT_ELIGIBLE_RUSSIA_PROPER,All target components lie in occupied Crimea,FALSE
68138,20251029,EXCLUDE_CRIMEA_SCOPE,2025-10-29,CRIMEA_SEVASTOPOL,Two oil depots Pantsir-S2 and radars Crimea,,,,CANONICAL_CRIMEA_COMPOSITE,NOT_ELIGIBLE_RUSSIA_PROPER,All targets lie in occupied Crimea,FALSE
68147,20251107,SPLIT_REQUIRED,2025-11-07,MIXED,Donetsk airport Shahed base plus Volgograd refinery plus Crimea oil depots,TGT_RU_VOLGOGRAD_REFINERY_20251107,NODE_RU_VOLGOGRAD_REFINERY,REFINING_PETROCHEM_GAS,SPLIT_RUSSIA_COMPONENT,CENSUS_CANDIDATE_ONLY,General Staff row contains one Russia-proper component among occupied-Ukraine and Crimea targets; Volgograd refinery retained separately,FALSE
68147,20251107,RU_COMPONENT_INCLUDE_RUSSIA_PROPER,2025-11-07,RUSSIA_PROPER,Volgograd oil refinery,TGT_RU_VOLGOGRAD_REFINERY_20251107,NODE_RU_VOLGOGRAD_REFINERY,REFINING_PETROCHEM_GAS,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff explicitly reported strike on Volgograd refinery; other row components are outside Russia-proper scope,FALSE
68149,20251108,EXCLUDE_CRIMEA_SCOPE,2025-11-08,CRIMEA_SEVASTOPOL,S-400 launcher and ammunition depot Crimea,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Targets lie in occupied Crimea,FALSE
